geneSymbol,cellName,tissueType,cellType
FOXL2,Granulosa cell,Ovary,Normal cell
"FOXL2, SPRR2 family",Granulosa cell,Ovary,Normal cell
"NANOG, POU5F1, SOX2",Stem cell,Ovarian cortex,Normal cell
LGR5,Ovarian somatic cell,Ovary,Normal cell
NANOG,Stem cell,Ovary,Normal cell
"PROM1, NANOG, POU5F1",Stem cell,Ovary,Normal cell
"LGR5, NANOG",Stem cell,Ovary,Normal cell
PROM1,Stem cell,Ovary,Normal cell
SALL4,Stem cell,Ovary,Normal cell
"AFP, GPC3, POU5F1, SALL4",Germ cell,Ovary,Normal cell
DDX4,Germ cell,Ovary,Normal cell
POU5F1,Germ cell,Ovary,Normal cell
"KIT, GDF9, DDX4",Germ cell,Ovary,Normal cell
SALL4,Germ cell,Ovary,Normal cell
DAZL,Germ cell,Ovary,Normal cell
DDX4,Germ cell,Ovary,Normal cell
"KIT, DAZL, DDX4, ZP4",Germ cell,Ovary,Normal cell
POU5F1,Germ cell,Ovary,Cancer cell
"BMP15, GDF9, NLRP5, DDX4, ZAR1",Germ cell,Ovary,Normal cell
NLRP9,Oocyte,Ovary,Normal cell
CD44,Cancer stem cell,Stomach,Normal cell
LGR5,Stem cell,Stomach,Normal cell
LGR5,Stem cell,Stomach,Normal cell
LGR5,Stem cell,Stomach,Normal cell
LGR5,Stem cell,Stomach,Normal cell
LGR5,Stem cell,Stomach,Normal cell
CD44,Stem cell,Stomach,Normal cell
LGR5,Stem cell,Stomach,Normal cell
CD44,Cancer stem cell,Stomach,Normal cell
ASPM,Progenitor cell,Stomach,Normal cell
LGR5,Stem cell,Gastric gland,Normal cell
KRT17,Cytotrophoblast,Placenta,Normal cell
KRT7,Epithelial cell,Placenta,Normal cell
Cytokeratin family,Epithelial cell,Placenta,Normal cell
"ENG, VCAM1, MCAM, ITGA1, NA, ACTA2",Mesenchymal stem cell,Placenta,Normal cell
"ITGB1, CD44, NT5E",Mesenchymal stem cell,Placenta,Normal cell
"ENG, NT5E, THY1",Stem cell,Placenta,Normal cell
KRT7,Trophoblast cell,Placenta,Normal cell
"Cytokeratin family, CDH1",Epithelial cell,Amniotic membrane,Normal cell
"FLT1, KDR",Stem cell,Amniotic fluid,Normal cell
KIT,Stem cell,Amniotic fluid,Normal cell
"ENG, ALCAM, NT5E, THY1, HLA-ABC family",Stem cell,Amniotic fluid,Normal cell
"ENG, ANPEP, ITGB1, CD44, THY1, POU5F1",Stem cell,Amniotic fluid,Normal cell
VIM,Stromal cell,Amniotic membrane,Normal cell
TP63,Stem cell,Amniotic membrane,Normal cell
"ABCG2, TP63",Stem cell,Amniotic membrane,Normal cell
"ABCG2, TP63",Stem cell,Amniotic membrane,Normal cell
"ABCG2, TP63, VIM",Stem cell,Amniotic membrane,Normal cell
CD44,Mesenchymal stem cell,Amniotic membrane,Normal cell
NA,Basal cell,Salivary gland,Normal cell
TP63,Basal cell,Salivary gland,Cancer cell
"BMI1, CD44, POU5F1",Stem cell,Salivary gland,Cancer cell
CD34,Stem cell,Submandibular gland,Normal cell
ABCG2,Stem cell,Submandibular gland,Normal cell
BMP6,Acinar cell,Salivary gland,Normal cell
"Actin family, Calponin family, TP63, S100 family",Myoepithelial cell,Salivary gland,Normal cell
PDPN,Myoepithelial cell,Salivary gland,Cancer cell
"Calponin family, TP63",Myoepithelial cell,Salivary gland,Normal cell
"Calponin family, ITGB1, TP63, S100 family, SMN1",Myoepithelial cell,Salivary gland,Normal cell
"CXCL13, ICOS, PDCD1",Follicular helper (Tfh) T cell,Lymph node,Normal cell
"PTPRC, NA, THY1",T cell,Lymph node,Normal cell
CD2,T cell,Lymph node,Normal cell
"[CD3D, CD3E, CD3G]",T cell,Lymph node,Normal cell
"CD2, CD4, CD5",T cell,Lymph node,Normal cell
"[CD3D, CD3E, CD3G]",T cell,Lymph node,Normal cell
NES,Stem cell,Muscle,Normal cell
"CD9, NES, CSPG4, VIM",Stem cell,Muscle,Normal cell
"PROM1, CXCR4, NANOG",Stem cell,Muscle,Normal cell
PAX7,Stem cell,Muscle,Normal cell
NCAM1,Stem cell,Muscle,Normal cell
"ENG, CD44, NT5E, THY1",Mesenchymal stem cell,Muscle,Normal cell
"CD44, RUNX1",Stem cell,Muscle,Cancer cell
CD34,Stem cell,Muscle,Normal cell
CD34,Stem cell,Muscle,Normal cell
"ACTA1, Calponin family, SMTN",Stem cell,Muscle,Normal cell
"KIT, CD34",Stem cell,Muscle,Normal cell
FUT4,Stem cell,Muscle,Normal cell
NA,Stem cell,Muscle,Normal cell
CASP3,Stem cell,Muscle,Normal cell
CASP3,Stem cell,Muscle,Normal cell
"VCAM1, CD34, THY1, KDR",Stem cell,Muscle,Normal cell
"CD34, CASP3",Stem cell,Muscle,Normal cell
"CD34, CASP3",Stem cell,Muscle,Normal cell
CASP3,Stem cell,Muscle,Normal cell
CDH5,Endothelial cell,Muscle,Normal cell
PECAM1,Endothelial cell,Muscle,Normal cell
PECAM1,Endothelial cell,Muscle,Normal cell
PECAM1,Endothelial cell,Muscle,Normal cell
"PECAM1, NOS3",Endothelial cell,Muscle,Normal cell
PECAM1,Endothelial cell,Muscle,Normal cell
PECAM1,Endothelial cell,Muscle,Normal cell
MCAM,Endothelial cell,Muscle,Normal cell
PECAM1,Endothelial cell,Muscle,Normal cell
PECAM1,Endothelial cell,Muscle,Normal cell
"CDH5, CD34, NCAM1",Endothelial cell,Muscle,Normal cell
"PECAM1, KDR",Endothelial cell,Muscle,Normal cell
PECAM1,Endothelial cell,Muscle,Normal cell
CD19,B cell,Spleen,Normal cell
PTPRC,B cell,Spleen,Normal cell
"ITGAM, CD14",Macrophage,Spleen,Normal cell
"CD163, MRC1, FCGR1A",Macrophage,Spleen,Normal cell
ADGRE1,Macrophage,Spleen,Normal cell
CD68,Macrophage,Spleen,Normal cell
MPO,Neutrophil,Spleen,Normal cell
MPO,Neutrophil,Spleen,Normal cell
"[CD3D, CD3E, CD3G], CD4",T cell,Spleen,Normal cell
SDC1,Plasma cell,Undefined,Normal cell
"LY9, LAIR1, ICAM1",Plasma cell,Peripheral blood,Normal cell
KIT,Plasma cell,Bone marrow,Normal cell
KIT,Plasma cell,Peripheral blood,Normal cell
CD27,Plasma cell,Peripheral blood,Normal cell
"CD19, CD38",Plasma cell,Peripheral blood,Cancer cell
CD38,Plasma cell,Peripheral blood,Cancer cell
"CD19, CD27",Memory B cell,Blood,Normal cell
CD27,Memory B cell,Blood,Normal cell
CD27,Memory B cell,Peripheral blood,Normal cell
CD27,Memory B cell,Blood,Normal cell
CD27,Memory B cell,Blood,Normal cell
"ENPP3, CD63",Basophil,Blood,Normal cell
"CCR3, IL3RA",Basophil,Blood,Normal cell
CD63,Basophil,Blood,Normal cell
"ENPP3, CD63",Basophil,Peripheral blood,Normal cell
CD63,Basophil,Peripheral blood,Normal cell
"ENPP3, CD63",Basophil,Peripheral blood,Normal cell
CD63,Basophil,Blood,Normal cell
"ENPP3, PTPRC",Basophil,Umbilical cord blood,Normal cell
CCR3,Basophil,Blood,Normal cell
"ENPP3, CD63",Basophil,Blood,Normal cell
CD63,Basophil,Blood,Normal cell
ENPP3,Basophil,Peripheral blood,Normal cell
ENPP3,Basophil,Peripheral blood,Normal cell
CD63,Basophil,Blood,Normal cell
CD63,Basophil,Peripheral blood,Normal cell
"ENPP3, CD63, CD69",Basophil,Peripheral blood,Normal cell
CD63,Basophil,Blood,Normal cell
ENPP3,Basophil,Blood,Normal cell
ENPP3,Basophil,Peripheral blood,Normal cell
HLA-DR family,Basophil,Blood,Normal cell
"CD19, CD22",Basophil,Blood,Normal cell
EPCAM,Cancer stem cell,Blood,Cancer cell
"MYC, PROM1, NES",Cancer stem cell,Blood,Cancer cell
CD44,Cancer stem cell,Peripheral blood,Cancer cell
DCLK1,Cancer stem cell,Blood,Cancer cell
PROM1,Cancer stem cell,Blood,Cancer cell
CD44,Cancer stem cell,Blood,Cancer cell
PROM1,Cancer stem cell,Blood,Cancer cell
CD44,Cancer stem cell,Blood,Cancer cell
CD44,Cancer stem cell,Blood,Cancer cell
CD44,Cancer stem cell,Undefined,Cancer cell
EPCAM,Cancer stem cell,Peripheral blood,Cancer cell
"ITGAM, CD69, IL13, IL4, IL5, CXCL8",Eosinophil,Peripheral blood,Normal cell
"IL2RA, CD44, CEACAM5, IL3RA",Eosinophil,Blood,Normal cell
"CSF3R, CSF2RA, IL3RA, IL4R, IL5RA, IL6R",Eosinophil,Blood,Normal cell
"IL3RA, IL5RA",Eosinophil,Peripheral blood,Normal cell
"CLDN6, F3, KCNQ4, MCAM, MMP14",Circulating fetal cell,Blood,Normal cell
TFRC,Circulating fetal cell,Peripheral blood,Normal cell
ITGA2B,Megakaryocyte,Undefined,Normal cell
"ITGA2B, GP1BA",Megakaryocyte,Undefined,Normal cell
"ITGA2B, GP9",Megakaryocyte,Peripheral blood,Normal cell
"ITGAM, CD33",Myeloid-derived suppressor cell,Blood,Cancer cell
"ITGAM, CD33",Myeloid-derived suppressor cell,Liver,Cancer cell
"AMH, INHBB",Sertoli cell,Undefined,Normal cell
AMH,Sertoli cell,Undefined,Normal cell
KLRB1,T helper17 (Th17) cell,Undefined,Normal cell
"[CD3D, CD3E, CD3G], PTPRC",Naive T cell,Umbilical cord blood,Normal cell
PTPRC,Naive T cell,Peripheral blood,Normal cell
NGFR,Mesenchymal stromal cell,Umbilical cord blood,Normal cell
"ENG, CD44, NT5E, THY1",Mesenchymal stromal cell,Umbilical cord blood,Normal cell
PTPRC,Hematopoietic cell,Undefined,Normal cell
"PECAM1, CDH5, VWF",Endothelial cell,Brain,Normal cell
"VCAM1, PECAM1",Endothelial cell,Brain,Normal cell
VWF,Endothelial cell,Brain,Normal cell
"CD68, AIF1",Macrophage,Brain,Normal cell
TSPO,M1 macrophage,Brain,Normal cell
CD68,Macrophage,Brain,Normal cell
CD163,M2 macrophage,Brain,Normal cell
OLIG2,Oligodendrocyte,Brain,Normal cell
"NA, CSPG4, OLIG2, PDGFRA",Oligodendrocyte progenitor cell,Brain,Normal cell
OLIG2,Oligodendrocyte,Brain,Normal cell
NA,Oligodendrocyte progenitor cell,Undefined,Normal cell
RBFOX3,Neuron,Brain,Normal cell
"GFAP, MAP2, NES",Neuron,Brain,Normal cell
MARK4,Neuron,Brain,Normal cell
RBFOX3,Neuron,Brain,Normal cell
"PROM1, FUT4, THY1",Cancer stem cell,Brain,Cancer cell
"PROM1, NES",Cancer stem cell,Brain,Cancer cell
MHC class I,Neuron,Brain,Normal cell
LGR5,Stem cell,Brain,Normal cell
"NES, PAX6, SOX1, SOX2",Stem cell,Brain,Normal cell
ECSCR,Endothelial cell,White adipose tissue,Normal cell
"ENG, PECAM1, VWF",Endothelial cell,Adipose tissue,Normal cell
"MCAM, ICAM family, THBD, VWF",Endothelial cell,White adipose tissue,Normal cell
PECAM1,Endothelial cell,Adipose tissue,Normal cell
"ABCG2, PROM1, PECAM1, CD34",Endothelial cell,Adipose tissue,Normal cell
"NANOG, POU5F1, NA, PODXL, PODXL",Mesenchymal stem cell,Adipose tissue,Normal cell
"ENG, THY1, NANOG, POU5F1, SOX2",Mesenchymal stem cell,Adipose tissue,Normal cell
"PPARGC1A, UCP1",Mesenchymal stem cell,Brown adipose tissue,Normal cell
LEP,Mesenchymal stem cell,White adipose tissue,Normal cell
"ENG, ITGB1, CD34, NT5E, THY1",Stem cell,Adipose tissue,Normal cell
"ITGB1, CD44, THY1",Mesenchymal stem cell,Adipose tissue,Normal cell
"ENG, PECAM1, CD34, PTPRC, NT5E, THY1",Stem cell,Adipose tissue,Normal cell
CD34,Stem cell,Adipose tissue,Cancer cell
"CD44, NT5E, THY1",Mesenchymal stem cell,Adipose tissue,Normal cell
"ENG, CD34, CD44, PTPRC",Mesenchymal stem cell,Adipose tissue,Normal cell
"ENG, CD34, CD70, THY1",Mesenchymal stem cell,Adipose tissue,Normal cell
"CD44, NT5E, THY1",Stem cell,Adipose tissue,Normal cell
"ABCG2, CD34, THY1, TP63",Stem cell,Adipose tissue,Normal cell
NA,Mesenchymal stem cell,Adipose tissue,Normal cell
NA,Mesenchymal stem cell,Adipose tissue,Normal cell
"ITGB1, CD44",Stem cell,Adipose tissue,Normal cell
"[FCGR3A, FCGR3B], [FCGR2A, FCGR2B, FCGR2C]",Macrophage,Adipose tissue,Normal cell
CD68,Macrophage,Visceral adipose tissue,Normal cell
"CD14, CD68",Macrophage,Adipose tissue,Normal cell
GREM1,Stromal cell,Adipose tissue,Normal cell
"ENG, CD44, NT5E, THY1",Stromal cell,Adipose tissue,Normal cell
"MCAM, CSPG4",Pericyte,Adipose tissue,Normal cell
"MCAM, CSPG4",Pericyte,Adipose tissue,Normal cell
CD34,Endothelial progenitor cell,Adipose tissue,Normal cell
PROM1,Cancer stem cell,Colon,Cancer cell
PROM1,Cancer stem cell,Colon,Cancer cell
"PROM1, CD24, CD44",Cancer stem cell,Colon,Cancer cell
"PROM1, CD44, NANOG, POU5F1",Cancer stem cell,Colon,Cancer cell
"ALCAM, CD24, CD44",Cancer stem cell,Colon,Cancer cell
CD44,Cancer stem cell,Colon,Cancer cell
CD44,Cancer stem cell,Stomach,Cancer cell
"ABCG2, ALDH1A1, CD44",Cancer stem cell,Colon,Cancer cell
"PROM1, CD44",Cancer stem cell,Colon,Cancer cell
"PROM1, CD44",Cancer stem cell,Colon,Cancer cell
"ALDH1A1, PROM1, ALCAM, CD44, LGR5",Cancer stem cell,Colon,Cancer cell
PROM1,Cancer stem cell,Colon,Cancer cell
CCR5,Basophil,Lung,Normal cell
"LRRN4, UPK3B",Mesothelial cell,Undefined,Normal cell
CDH2,Mesothelial cell,Lung,Normal cell
KRT19,Cancer cell,Lung,Cancer cell
NCAM1,Cancer cell,Undefined,Cancer cell
THBD,Plasmacytoid dendritic cell,Lung,Normal cell
"ALCAM, CD44, EPCAM",Cancer stem cell,Lung,Cancer cell
CD24,Cancer stem cell,Lung,Cancer cell
"ALDH1A1, PROM1, SOX2",Cancer stem cell,Undefined,Cancer cell
CD44,Cancer stem cell,Lung,Normal cell
"ALDH1A1, PROM1",Cancer stem cell,Lung,Cancer cell
"ABCG2, CD44",Cancer stem cell,Lung,Cancer cell
"ALDH family, CD44",Cancer stem cell,Undefined,Cancer cell
"ABCB1, ALDH1A1, CD44",Cancer stem cell,Lung,Cancer cell
CD44,Cancer stem cell,Lung,Cancer cell
"ALDH1A1, PROM1",Cancer stem cell,Lung,Cancer cell
ALDH1A1,Cancer stem cell,Lung,Normal cell
GLI1,Cancer stem cell,Lung,Cancer cell
"ALDH1A1, PROM1",Cancer stem cell,Undefined,Cancer cell
"ALDH1A1, PROM1, CD44",Cancer stem cell,Undefined,Normal cell
NES,Cancer stem cell,Lung,Normal cell
PDPN,Cancer stem cell,Lung,Cancer cell
PROM1,Cancer stem cell,Lung,Cancer cell
"ALDH1A1, PROM1, CD44",Cancer stem cell,Undefined,Normal cell
"ALDH1A1, PROM1, CD44, NANOG, POU5F1, SOX2",Cancer stem cell,Lung,Cancer cell
SOX2,Cancer stem cell,Lung,Normal cell
PROM1,Cancer stem cell,Lung,Cancer cell
"ABCG2, KIT, PROM1",Cancer stem cell,Lung,Cancer cell
"ABCG2, ALDH1A1, PROM1, CD44",Cancer stem cell,Lung,Normal cell
"PROM1, CD44",Cancer stem cell,Lung,Cancer cell
"ALDH family, POU5F1",Cancer stem cell,Undefined,Normal cell
PROM1,Cancer stem cell,Undefined,Normal cell
"MYC, PROM1, KLF4, NANOG",Cancer stem cell,Lung,Cancer cell
"ALDH1A1, CD44",Cancer stem cell,Lung,Cancer cell
CD44,Cancer stem cell,Undefined,Normal cell
ALDH1A1,Cancer stem cell,Lung,Cancer cell
CD44,Cancer stem cell,Lung,Normal cell
"ABCB1, ALDH1A1",Cancer stem cell,Undefined,Normal cell
"ALDH1A1, PROM1",Cancer stem cell,Lung,Normal cell
PROM1,Cancer stem cell,Undefined,Normal cell
CD44,Cancer stem cell,Lung,Normal cell
"ALDH1A1, CD44, PDPN",Cancer stem cell,Lung,Cancer cell
MSI1,Cancer stem cell,Lung,Normal cell
NES,Cancer stem cell,Lung,Cancer cell
"ABCG5, ALDH1A1, PROM1, ALCAM, CD24, CD44, FLOT2, NES, POU5F1, SOX2",Cancer stem cell,Lung,Cancer cell
PROM1,Cancer stem cell,Lung,Normal cell
"ABCG2, ALDH1A1, BMI1",Cancer stem cell,Lung,Cancer cell
"ALDH1A1, PROM1",Cancer stem cell,Lung,Cancer cell
"NANOG, POU5F1, SOX2",Cancer stem cell,Undefined,Normal cell
"ALDH1A1, CTNNB1, PROM1, CD44",Cancer stem cell,Lung,Cancer cell
"ALDH family, PROM1, POU5F1",Cancer stem cell,Lung,Normal cell
"ABCG2, ALDH1A1, BMI1, PROM1",Cancer stem cell,Lung,Cancer cell
"PROM1, NES",Cancer stem cell,Lung,Normal cell
PROM1,Cancer stem cell,Lung,Cancer cell
"BMI1, PROM1, CD34, CD44, POU5F1",Cancer stem cell,Undefined,Normal cell
ALDH family,Cancer stem cell,Lung,Cancer cell
"ABCG2, PROM1",Cancer stem cell,Lung,Cancer cell
"ABCG2, PROM1",Cancer stem cell,Undefined,Cancer cell
POU5F1,Cancer stem cell,Undefined,Normal cell
"CD44, TP63, PDPN",Cancer stem cell,Lung,Cancer cell
SCGB1A1,Clara cell,Lung,Normal cell
SCGB1A1,Clara cell,Lung,Normal cell
SCGB1A1,Clara cell,Lung,Normal cell
SCGB1A1,Clara cell,Lung,Normal cell
"THBD, CD1C, CLEC4C",Dendritic cell,Lung,Normal cell
"CCR6, NA, PCX3CR1, PFLT3",Dendritic cell,Lung,Normal cell
"ITGAX, CD209, CD83",Dendritic cell,Lung,Normal cell
CD83,Dendritic cell,Lung,Normal cell
"THBD, CD1C, CLEC4C, CD83",Dendritic cell,Lung,Normal cell
"CD1A, CD83",Dendritic cell,Lung,Cancer cell
"CD1A, MHC Class II",Dendritic cell,Lung,Normal cell
"CDH5, MCAM, PECAM1",Endothelial cell,Lung,Normal cell
"MCAM, PECAM1, VWF",Endothelial cell,Lung,Cancer cell
LYVE1,Endothelial cell,Lung,Normal cell
CD34,Endothelial cell,Lung,Normal cell
PECAM1,Endothelial cell,Lung,Normal cell
PECAM1,Endothelial cell,Lung,Cancer cell
"PECAM1, CD34, VWF",Endothelial cell,Lung,Normal cell
ESM1,Endothelial cell,Lung,Cancer cell
"CD34, FLT1, KDR, VWF",Endothelial cell,Lung,Normal cell
PECAM1,Endothelial cell,Lung,Normal cell
EMCN,Endothelial cell,Lung,Normal cell
CD19,B cell,Liver,Normal cell
"CD80, CD86",B cell,Liver,Normal cell
CD27,Memory B cell,Liver,Normal cell
"MME, CD19",B cell,Undefined,Normal cell
MS4A1,B cell,Liver,Normal cell
"MS4A1, CD79A",B cell,Liver,Normal cell
MS4A1,B cell,Liver,Normal cell
PAX5,B cell,Undefined,Normal cell
CD19,B cell,Fetal liver,Normal cell
PTPRC,B cell,Liver,Normal cell
"MS4A1, CD24",B cell,Fetal liver,Normal cell
EPCAM,Cancer stem cell,Liver,Cancer cell
THY1,Cancer stem cell,Liver,Cancer cell
CD44,Cancer stem cell,Undefined,Cancer cell
DCLK1,Cancer stem cell,Undefined,Cancer cell
DCLK1,Cancer stem cell,Undefined,Cancer cell
"ANPEP, THY1, EPCAM, POU5F1",Cancer stem cell,Liver,Cancer cell
THY1,Cancer stem cell,Liver,Cancer cell
THY1,Cancer stem cell,Undefined,Cancer cell
THY1,Cancer stem cell,Undefined,Cancer cell
DCLK1,Cancer stem cell,Liver,Cancer cell
"AFP, ANPEP, CD44, THY1, GPC3",Cancer stem cell,Liver,Cancer cell
"PROM1, CD44",Cancer stem cell,Liver,Cancer cell
KLF8,Cancer stem cell,Liver,Cancer cell
"ANPEP, CD44, CD44, EPCAM",Cancer stem cell,Liver,Cancer cell
PROM1,Cancer stem cell,Liver,Cancer cell
THY1,Cancer stem cell,Liver,Cancer cell
"PROM1, CD44, LGR5, SOX2",Cancer stem cell,Undefined,Cancer cell
"PROM1, CD44, THY1, EPCAM",Cancer stem cell,Liver,Cancer cell
PROM1,Cancer stem cell,Liver,Cancer cell
"CTNNB1, PROM1, CD44",Cancer stem cell,Liver,Cancer cell
DCLK1,Cancer stem cell,Colon,Cancer cell
DCLK1,Cancer stem cell,Pancreas,Cancer cell
"POU5F1, SOX2",Cancer stem cell,Liver,Cancer cell
PROM1,Cancer stem cell,Liver,Cancer cell
"PROM1, CD44, THY1",Cancer stem cell,Liver,Cancer cell
"PROM1, CD44",Cancer stem cell,Liver,Cancer cell
"PROM1, THY1, EPCAM",Cancer stem cell,Liver,Cancer cell
"Aldehyde dehydrogenase 1 family, PROM1, CD24, CD44",Cancer stem cell,Undefined,Cancer cell
USP22,Cancer stem cell,Undefined,Cancer cell
"PROM1, CD44, EPCAM",Cancer stem cell,Liver,Cancer cell
PROM1,Cancer stem cell,Liver,Cancer cell
PROM1,Cancer stem cell,Liver,Cancer cell
PROM1,Cancer stem cell,Liver,Cancer cell
PROM1,Cancer stem cell,Liver,Cancer cell
ANPEP,Cancer stem cell,Liver,Cancer cell
"PROM1, EPCAM",Cancer stem cell,Liver,Cancer cell
"ALDH family, PROM1, CD44, THY1",Cancer stem cell,Liver,Cancer cell
"PROM1, THY1",Cancer stem cell,Liver,Cancer cell
PROM1,Cancer stem cell,Liver,Cancer cell
"PROM1, THY1, EPCAM, NA",Cancer stem cell,Liver,Cancer cell
PROM1,Cancer stem cell,Liver,Cancer cell
GFAP,Astrocyte,Brain,Normal cell
SOX9,Astrocyte,Brain,Normal cell
"ALDH1L1, GFAP, NFIA, S100B",Astrocyte,Brain,Normal cell
GFAP,Astrocyte,Brain,Normal cell
MBTPS2,Cancer cell,Brain,Cancer cell
CSPG4,Oligodendrocyte progenitor cell,Brain,Normal cell
CD44,Cancer cell,Brain,Cancer cell
PROM1,Cancer stem cell,Brain,Cancer cell
PROM1,Cancer stem cell,Brain,Cancer cell
"PROM1, NANOG, SOX2",Cancer stem cell,Brain,Cancer cell
PROM1,Cancer stem cell,Brain,Cancer cell
"PROM1, NES",Cancer stem cell,Brain,Cancer cell
PROM1,Cancer stem cell,Undefined,Cancer cell
PROM1,Cancer stem cell,Brain,Cancer cell
HOXD9,Cancer stem cell,Brain,Cancer cell
PROM1,Cancer stem cell,Brain,Cancer cell
PROM1,Cancer stem cell,Brain,Cancer cell
"THY1, NA",Cancer stem cell,Brain,Cancer cell
PROM1,Cancer stem cell,Brain,Cancer cell
"[CD3D, CD3E, CD3G]",T cell,Brain,Normal cell
"CCR6, CXCR3",T helper1 (Th1) cell,Brain,Cancer cell
"CCR6, CXCR3",T helper2 (Th2) cell,Brain,Cancer cell
"CCR6, CXCR3",T helper17 (Th17) cell,Brain,Cancer cell
"IL2RA, CD4",Regulatory T (Treg) cell,Brain,Cancer cell
PTPRC,T cell,Brain,Cancer cell
TNFRSF8,T helper2 (Th2) cell,Brain,Normal cell
"SLC17A7, SLC17A6",Glutamatergic neuron,Brain,Normal cell
NES,Neural progenitor cell,Brain,Normal cell
NES,Neural stem cell,Brain,Normal cell
ADGRG1,Neural stem cell,Brain,Normal cell
ADGRG1,Neural progenitor cell,Brain,Normal cell
"DCX, NEUROD1, NCAM1, SOX2, DPYSL3",Neural stem cell,Brain,Normal cell
"DCX, NEUROD1, NCAM1, SOX2, DPYSL3",Neural progenitor cell,Brain,Normal cell
MPRIP,Purkinje cell,Brain,Normal cell
CSPG4,Pericyte,Brain,Normal cell
ACTA2,Pericyte,Brain,Normal cell
HMGB2,Neural stem cell,Hippocampus,Normal cell
PROM1,Cancer stem cell,Colon,Cancer cell
PROM1,Cancer stem cell,Colon,Cancer cell
CEACAM6,Cancer stem cell,Colon,Cancer cell
ALCAM,Cancer stem cell,Intestine,Cancer cell
ALCAM,Cancer stem cell,Colon,Cancer cell
LGR5,Cancer stem cell,Colorectum,Cancer cell
CD44,Cancer stem cell,Colorectum,Cancer cell
ALDH1A1,Cancer stem cell,Colorectum,Cancer cell
"TNFRSF4, CD44",Cancer stem cell,Colorectum,Cancer cell
PHLDA1,Intestinal epithelial stem cell,Intestine,Normal cell
DCLK1,Intestinal stem cell,Intestine,Normal cell
ALCAM,Cancer stem cell,Gastrointestinal tract,Cancer cell
IL9,Paneth cell,Intestine,Normal cell
"ITGAM, CD44, CD48, ICAM1, CD69, CD81, HLA-DR family",Eosinophil,Blood,Normal cell
RNASE3,Eosinophil,Lung,Normal cell
"FCER2, CR1",Follicular dendritic cell,Spleen,Normal cell
ITGAX,Dendritic cell,Spleen,Normal cell
ITGAX,Dendritic cell,Spleen,Normal cell
CR1,Follicular dendritic cell,Spleen,Normal cell
"ITGAM, CD14",Monocyte,Spleen,Normal cell
CD68,Macrophage,Synovium,Normal cell
CD163,Macrophage,Synovium,Normal cell
CD68,Macrophage,Synovium,Normal cell
CD68,Macrophage,Synovium,Normal cell
CD68,Macrophage,Synovium,Normal cell
CD68,Macrophage,Synovium,Normal cell
"[CD3D, CD3E, CD3G], CD4, CD5, CD8A, THY1",T cell,Thymus,Normal cell
CLU,Sertoli cell,Testis,Normal cell
"AMH, SOX9",Sertoli cell,Testis,Normal cell
VIM,Sertoli cell,Testis,Normal cell
HSD3B,Leydig cell,Testis,Normal cell
HSD3B,Leydig cell,Testis,Normal cell
"NANOG, POU5F1, SOX2",Stem cell,Testis,Normal cell
SALL4,Stem cell,Testis,Normal cell
NES,Stem cell,Testis,Normal cell
ITGAX,Dendritic cell,Thymus,Normal cell
"ITGAX, CD80, CD83",Dendritic cell,Thymus,Normal cell
"PROM1, CD44",Cancer stem cell,Endometrium,Normal cell
LGR5,Stem cell,Endometrium,Normal cell
"ENG, ALCAM, NT5E, THY1, HLA-ABC family",Stem cell,Endometrium,Normal cell
"KIF4A, NANOG, POU5F1, SOX2",Stem cell,Endometrium,Normal cell
"ENG, THY1",Mesenchymal stem cell,Endometrium,Normal cell
"CDH5, PECAM1, CD34, MSI1, POU5F1",Stem cell,Endometrium,Normal cell
"KIT, NANOG, POU5F1, NA",Stem cell,Endometrium,Normal cell
CEACAM8,Neutrophil,Blood,Normal cell
LCN2,Neutrophil,Blood,Normal cell
CEACAM8,Neutrophil,Blood,Normal cell
ITGAM,Neutrophil,Blood,Normal cell
ADGRE1,Macrophage,Serum,Normal cell
CD68,Macrophage,Serum,Normal cell
CD68,Macrophage,Serum,Normal cell
CD68,Macrophage,Serum,Normal cell
"CSF1R, MRC1, CD68",Macrophage,Serum,Cancer cell
CD163,M2 macrophage,Serum,Normal cell
ITGAM,Macrophage,Serum,Normal cell
CD68,Macrophage,Serum,Normal cell
"ITGAM, ITGAX, CD68, CSF1R",Macrophage,Serum,Normal cell
ADGRE1,Macrophage,Serum,Normal cell
ITGAM,Macrophage,Serum,Normal cell
CD68,Macrophage,Serum,Normal cell
CD68,Macrophage,Serum,Normal cell
NA,Stem cell,Cartilage,Normal cell
MCAM,Mesenchymal stem cell,Cartilage,Normal cell
"ENG, NT5E",Mesenchymal stem cell,Cartilage,Normal cell
"ENG, ALCAM, THY1, POU5F1, NA",Stem cell,Cartilage,Normal cell
MCAM,Stem cell,Cartilage,Normal cell
"CD44, NT5E, CD9, THY1",Stem cell,Cartilage,Normal cell
"ACAN, COL2A1, COMP",Chondrocyte,Cartilage,Normal cell
"ACAN, COL2A1, SOX9",Chondrocyte,Cartilage,Normal cell
DCLK1,Stem cell,Esophagus,Cancer cell
LGR5,Stem cell,Esophagus,Normal cell
PROM1,Stem cell,Gastrointestinal tract,Cancer cell
ALCAM,Stem cell,Gastrointestinal tract,Cancer cell
BMI1,Stem cell,Gastrointestinal tract,Normal cell
"POU5F1, SYCP3",Germ cell,Gonad,Normal cell
