geneSymbol,cellName,tissueType,cellType
ALDH1A1,Cancer stem cell,Breast,Cancer cell
CCR6,CD4+ T cell,Colon,Normal cell
CCR6,CD4+ T cell,Blood,Normal cell
CPM,Anterior foregut endoderm cell,Lung,Normal cell
"CD24, CD44",Cancer stem cell,Breast,Cancer cell
"CD40, CD80, CD86, MHC class II",Dendritic cell,Bone marrow,Normal cell
"PROM1, PECAM1, CD34",Endoderm progenitor cell,Adipose tissue,Normal cell
KLRD1,Natural killer cell,Blood,Normal cell
"ACTB, ATF4, CD33, CD68, CD9, CDC42, CLDN6, COL1A2, CRABP1, CRIP1, CRYL1, CTNNB1, DLX5, EN1, F11R, NA, FOXA2, GATA5, HAMP, HMGA1, IL7R, JUN, JUNB, KCNQ4, MCAM, MMP9, NCAM1, OLIG2, PBLD, PDGFC, PF4, PUM2, SELE, SELPLG, SMAD3, SMC3, SOX13, TCF3, TNC, ",Circulating fetal cell,Blood,Normal cell
"NGFR, GFAP",Neural progenitor cell,Brain,Normal cell
PBXIP1,Astroglial progenitor cell,Embryo,Normal cell
FLT1,Cancer stem cell,Undefined,Cancer cell
"PECAM1, VWF",Endothelial cell,Skin,Normal cell
"CD34, CD38",Cancer stem cell,Undefined,Cancer cell
"PROM1, CD24, CD44",Cancer stem cell,Undefined,Cancer cell
PECAM1,Endothelial cell,Undefined,Normal cell
"ITGA1, CXCR6",Natural killer cell,Peripheral blood,Normal cell
AMACR,Paneth cell,Undefined,Cancer cell
PROM1,Cancer stem cell,Undefined,Cancer cell
"EPCAM, FZD4, KRT8, WNT4",Epithelial cell,Thymus,Normal cell
THY1,Mesenchymal stromal cell,Blood vessel,Normal cell
"PTPRC, TFRC, DLK1, PDGFRA, NA",Hepatoblast,Liver,Normal cell
"PTPRC, TFRC, DLK1, PDGFRA, NA",Mesenchymal cell,Liver,Normal cell
"PTPRC, TFRC, DLK1, KDR, NA",Endothelial cell,Liver,Normal cell
PTPRC,Hematopoietic cell,Liver,Normal cell
TFRC,Hematopoietic cell,Liver,Normal cell
NA,Hematopoietic cell,Liver,Normal cell
PROM1,Cancer stem cell,Liver,Cancer cell
CXCR4,Cancer stem cell,Undefined,Cancer cell
THY1,Mesenchymal stem cell,Synovial fluid,Normal cell
"[CD3D, CD3E, CD3G], CD4",CD4+ T cell,Liver,Normal cell
"[CD3D, CD3E, CD3G], CD8A",CD8+ T cell,Liver,Normal cell
CD14,Monocyte,Liver,Normal cell
"ITGAX, HLA-DR family",Dendritic cell,Liver,Normal cell
"[FCGR3A, FCGR3B]",Natural killer cell,Liver,Normal cell
"CD19, MS4A1",B cell,Liver,Normal cell
CD44,Cancer stem cell,Stomach,Cancer cell
"NA, NA",Periodontal stem cell,Periodontal ligament,Normal cell
CD6,Natural regulatory T (Treg) cell,Blood,Normal cell
"IL2RA, CD6, CD4",FOXP3+ natural regulatory T (Treg) cell,Blood,Normal cell
PROM1,Cancer stem cell,Stomach,Cancer cell
CD83,Dendritic cell,Peripheral blood,Normal cell
EBF2,Beige adipogenic precursor cell,Adipose tissue,Normal cell
EBF2,Brown adipogenic precursor cell,Adipose tissue,Normal cell
CD14,Platelet,Blood,Normal cell
GP1BA,Leukocyte,Blood,Normal cell
"[CD3D, CD3E, CD3G], CD8A",Cytotoxic T cell,Liver,Normal cell
"[CD3D, CD3E, CD3G], NCAM1",Natural killer T (NKT) cell,Liver,Normal cell
"[CD3D, CD3E, CD3G], CD4",T helper cell,Liver,Normal cell
"[CD3D, CD3E, CD3G]",T cell,Liver,Normal cell
"[CD3D, CD3E, CD3G], PTPRC",Memory T cell,Liver,Normal cell
CD19,B cell,Liver,Normal cell
"CD14, [FCGR3A, FCGR3B]",Monocyte,Liver,Normal cell
"[CD3D, CD3E, CD3G], CD4",T helper cell,Peripheral blood,Normal cell
"[CD3D, CD3E, CD3G], PTPRC",Memory T cell,Peripheral blood,Normal cell
"IL2RA, [CD3D, CD3E, CD3G], CD4, FOXP3",Regulatory T (Treg) cell,Peripheral blood,Normal cell
"[CD3D, CD3E, CD3G], CD4, IFNG",T helper1 (Th1) cell,Peripheral blood,Normal cell
"[CD3D, CD3E, CD3G], CD4, IL4",T helper2 (Th2) cell,Peripheral blood,Normal cell
"[CD3D, CD3E, CD3G], CD4, IL17RA",T helper17 (Th17) cell,Peripheral blood,Normal cell
"PROM1, PECAM1, CD34, PTPRC",Endothelial progenitor cell,Peripheral blood,Cancer cell
"PROM1, PECAM1, CD34, PTPRC",Endothelial cell,Peripheral blood,Cancer cell
"ENG, CD34, PTPRC, NT5E, THY1",Mesenchymal stromal cell,Undefined,Normal cell
"CD44, EPCAM",Cancer stem cell,Undefined,Cancer cell
PROM1,Cancer stem cell,Lung,Cancer cell
CD14,Monocyte,Lung,Normal cell
NRP1,Plasmacytoid dendritic cell,Lung,Normal cell
GP1BA,T helper cell,Lung,Normal cell
CD14,Monocyte,Blood,Normal cell
NRP1,Plasmacytoid dendritic cell,Blood,Normal cell
GP1BA,T helper cell,Blood,Normal cell
PIWIL1,Cancer stem cell,Undefined,Cancer cell
"PECAM1, CD34, PDPN, PROX1, FLT4",Lymphatic endothelial cell,Lymph node,Normal cell
"ENG, ITGAM, CD19, CD34, CD44, PTPRC, NT5E, THY1, HLA-DR family",Fibroblast,Undefined,Normal cell
ITGA2B,Platelet,Peripheral blood,Normal cell
"[CD3D, CD3E, CD3G]",T cell,Colorectum,Cancer cell
"PROM1, CD34, PTPRC",Endothelial progenitor cell,Blood,Normal cell
CD99,Endocrine cell,Pancreatic islet,Normal cell
"ENG, CD34, PTPRC, THY1, HLA-DR family",Mesenchymal stromal cell,Placenta,Normal cell
"IL2RA, CD4, LRRC32",Responder T cell,Blood,Normal cell
LRRC32,Regulatory T (Treg) cell,Blood,Normal cell
"ALDH family, CD24, CD44",Cancer stem cell,Undefined,Cancer cell
"CD34, PTPRC, NT5E, THY1",Mesenchymal stem cell,Bone marrow,Normal cell
CD44,Cancer stem cell,Blood,Cancer cell
PROM1,Cancer stem-like cell,Undefined,Cancer cell
"ENG, CD14, ITGB1, CD34, CD44, PTPRC, NT5E, THY1",Mesenchymal stem cell,Adipose tissue,Normal cell
CD44,Cancer stem cell,Undefined,Cancer cell
"VCAM1, ITGB1, PECAM1, CD34, PTPRC, THY1",Adipose-derived stem cell,Adipose tissue,Normal cell
"ENG, CD34, PTPRC, NT5E, THY1",Mesenchymal stem cell,Bone marrow,Normal cell
"CD24, CD44",Cancer stem cell,Breast,Cancer cell
"ALDH1A1, PROM1, ALCAM, CD44, THY1",Cancer stem cell,Lung,Cancer cell
"PROM1, ALCAM, CD24, CD44",Cancer stem cell,Colon,Cancer cell
SOX2,Cancer stem cell,Skin,Cancer cell
CD68,Macrophage,Synovium,Normal cell
THY1,Fibroblast,Synovium,Normal cell
"[CD3D, CD3E, CD3G]",T cell,Synovium,Normal cell
MS4A1,B cell,Synovium,Normal cell
"CD19, CD27, IgD family",Naive B cell,Peripheral blood,Normal cell
"CD19, CD27, IgD family",Class-switched memory B cell,Peripheral blood,Normal cell
"CD19, CD27, IgD family",Non-switched memory B cell,Peripheral blood,Normal cell
"CD19, CD27, IgD family",Double-negative B cell,Peripheral blood,Normal cell
"CD19, CD24, CD38",Transitional B cell,Peripheral blood,Normal cell
"CD19, CD24, CD38",Plasmablast,Peripheral blood,Normal cell
"ENG, KIT",Adipose-derived stem cell,Adipose tissue,Normal cell
THY1,Cancer stem cell,Pancreas,Cancer cell
"PROM1, CD24",Cancer stem cell,Liver,Cancer cell
"TFRC, [ITGA6, ITGB4]",Oral keratinocyte stem cell,Oral mucosa,Normal cell
"ENG, CD44, NT5E, THY1",Mesenchymal stromal cell,Adipose tissue,Normal cell
"ENG, KIT, PROM1, CD14, MCAM, CD24, ITGB1, PECAM1, CD34, CD44, PTPRC, NT5E, THY1, NA, NA",Urine-derived stem cell,Urine,Normal cell
"CDH5, CD34, PTPRC, NCAM1",Myogenic endothelial cell,Skeletal muscle,Normal cell
"MCAM, CD34, PTPRC, NCAM1",Pericyte,Skeletal muscle,Normal cell
"PECAM1, CD34, PTPRC, NCAM1",Adventitial cell,Skeletal muscle,Normal cell
PTPRC,White blood cell,Blood,Normal cell
LIN28B,Cancer stem cell,Undefined,Cancer cell
"ENG, CD14, ALCAM, CD34, PTPRC, NT5E, THY1, HLA-ABC family, HLA-DR family, MHC class I",Mesenchymal stem cell,Endometrium,Normal cell
PROM1,Cancer stem cell,Undefined,Cancer cell
"ENG, CD14, ITGB1, PECAM1, CD34, CD44, PTPRC, NT5E, THY1",Cancer stem cell,Undefined,Cancer cell
RPE65,Pigment epithelial cell,Eye,Normal cell
PRKCA,Bipolar cell,Eye,Normal cell
CRABP1,Amacrine cell,Eye,Normal cell
NES,Neural progenitor cell,Eye,Normal cell
"CD19, CD24, CD38",Immature transitional B cell,Blood,Normal cell
"CD19, CD24, CD38",Naive B cell,Blood,Normal cell
"CD19, CD27",Memory B cell,Blood,Normal cell
"CD27, IgD family",Naive B cell,Blood,Normal cell
"CD27, IgD family",Non-switched B cell,Blood,Normal cell
"CD27, IgD family",Switched memory B cell,Blood,Normal cell
"CD24, CD38",Transitional B cell,Blood,Normal cell
"CD38, CD40LG",Plasmablast,Blood,Normal cell
"CCR7, PTPRC",Effector CD4+ memory T (Tem) cell,Blood,Normal cell
"PROM1, KDR",Endothelial progenitor cell,Peripheral blood,Normal cell
DCLK1,Esophageal mucosal cell,Esophagus,Normal cell
PROM1,Hematopoietic stem cell,Umbilical cord blood,Normal cell
CD34,Hematopoietic progenitor cell,Umbilical cord blood,Normal cell
MS4A1,B cell,Undefined,Cancer cell
"ENG, CD34, CD44, PTPRC, THY1",Mesenchymal stem cell,Periodontal ligament,Normal cell
EPCAM,Cancer stem cell,Liver,Cancer cell
"ENG, ALCAM, NT5E, THY1",Mesenchymal stromal cell,Amniotic membrane,Normal cell
CD24,Cancer stem cell,Undefined,Cancer cell
"NGFR, ITGA4, CHST10",Neural crest stem cell,Hair follicle,Normal cell
NA,Myeloid stem cell,Peripheral blood,Cancer cell
"CD34, CD38, THY1",Hematopoietic stem cell,Bone marrow,Normal cell
"GCSAM, GCSAM",Germinal center B cell,Undefined,Cancer cell
"CDH11, EFNA2, GPC3, PRSS50",Pluripotent stem cell,Undefined,Normal cell
"NECTIN2, PECAM1, EPCAM, ITGA6",Pluripotent stem cell,Undefined,Normal cell
PROM1,Cancer stem-like cell,Undefined,Cancer cell
"AICDA, MME, TNFSF13B, CD28, CD38, TFRC, CD86",B cell,Blood,Normal cell
"CCR7, IL7R, IL2RA, CD27, BTLA, CD28, [CD3D, CD3E, CD3G], CD4, PTPRC, PTPRC, SELL, CD8A, CTLA4, PDCD1, HAVCR2",T cell,Peripheral blood,Normal cell
"CD19, MS4A1, CR2, CD24, CD27, CD38, PTPRC, CD5, IgD family, CD40LG",B cell,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, FUT4, [FCGR3A, FCGR3B], CD33, PTPRC, CEACAM8, HLA-DR family, CASK",Myeloid cell,Peripheral blood,Normal cell
"CD274, CD14, F3, [FCGR3A, FCGR3B], [FCGR2A, FCGR2B, FCGR2C], CD40, PTPRC, FCGR1A, CD80, CD86, HLA-DR family, PDCD1, TNFRSF1B",Monocyte,Peripheral blood,Normal cell
"CCR3, CD14, FUT4, [FCGR3A, FCGR3B], ENPP3, CD44, PTPRC, ITGA4, CD63, CEACAM8",Granulocyte,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",Classical monocyte,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",Intermediate monocyte,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",Non-classical monocyte,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",Suppressive monocyte,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",Monocyte derived dendritic cell,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",CD16+ dendritic cell,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",Immature myeloid cell,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",Neutrophil,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",Granulocyte,Peripheral blood,Normal cell
"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",Eosinophil,Peripheral blood,Normal cell
"IL7R, ITGA4",Regulatory T (Treg) cell,Blood,Normal cell
"ENG, ALCAM, CD34, CD44, NT5E, THY1",Unrestricted somatic stem cell,Undefined,Normal cell
"ENG, ALCAM, CD34, CD44, NT5E, THY1",Mesenchymal stem cell,Undefined,Normal cell
"CD19, CD27, CD38, IgD family",Transitional B cell,Peripheral blood,Normal cell
"CD19, CD27, CD38, IgD family",Naive B cell,Peripheral blood,Normal cell
"CD19, CD27, IgD family",Non-switched memory B cell,Peripheral blood,Normal cell
"CD19, CD27, IgD family",Switched memory B cell,Peripheral blood,Normal cell
"CD19, CD27, IgD family",Double-negative memory B cell,Peripheral blood,Normal cell
"CD19, CD27, CD38, IgD family",Plasma cell,Peripheral blood,Normal cell
"CHST8, FSHR, GLDC, GPX3, MGARP",Granulosa cell,Ovarian follicle,Normal cell
"CYP17A1, FBLN5, OGN, RAMP2",Theca interna cell,Ovarian follicle,Normal cell
PTGDR2,Beta cell,Undefined,Normal cell
"ENG, ITGB1, PECAM1, CD44, PTPRC, NT5E, THY1",Mesenchymal stem cell,Adipose tissue,Normal cell
TM4SF1,Alveolar epithelial progenitor cell,Lung,Normal cell
"ABCG2, KRT14, TP63",Limbal stem cell,Limbal epithelium,Normal cell
ABCG2,Cancer stem cell,Undefined,Cancer cell
"ENG, THY1, NA",Mesenchymal stem cell,Oral mucosa,Normal cell
IL1RAP,Cancer stem cell,Undefined,Cancer cell
"ALDH1A1, PROM1",Cancer stem cell,Colorectum,Cancer cell
CD24,Cancer stem cell,Oral cavity,Cancer cell
SOX12,Cancer stem cell,Undefined,Cancer cell
"CCNA2, SLC2A3",Primordial germ cell,Undefined,Cancer cell
PYGB,Liver progenitor cell,Liver,Normal cell
OR13C4,Dental pulp stem cell,Dental pulp,Normal cell
"CD14, CD19, ITGB1, CD34, NT5E, CD9, HLA-DR family",Mesenchymal stromal cell,Nasal concha,Normal cell
"KIT, KIR2DL1, KIR2DL3, [FCGR3A, FCGR3B], KLRB1, [CD3D, CD3E, CD3G], ITGA1, ITGA2, NCAM1, B3GAT1, CXCR6, KLRC2, NCR1",Monocyte,Peripheral blood,Normal cell
"KIT, PROM1, CD34",Hematopoietic stem cell,Breast,Normal cell
"ENG, NT5E, THY1",Mesenchymal stem cell,Breast,Normal cell
"ITGB1, CD44",Myoepithelial cell,Breast,Normal cell
"ANPEP, CD14, CD209, PTPRC, CD83, CD86, HLA-DR family",Immune cell,Breast,Normal cell
"ABCG2, ENG, VCAM1, KIT, PROM1, PDGFRB, MCAM, ALCAM, ITGB1, PECAM1, CD34, CD44, PTPRC, ITGA4, ICAM1, NT5E, THY1, NES, POU5F1, SOX2, NA",Endometrial stem cell,Endometrium,Normal cell
"ABCG2, ENG, VCAM1, KIT, PROM1, PDGFRB, MCAM, ALCAM, ITGB1, PECAM1, CD34, CD44, PTPRC, ITGA4, ICAM1, NT5E, THY1, POU5F1, SOX2, NA",Oviduct-derived stem cell,Oviduct,Normal cell
CDH2,Mesenchymal stem cell,Undefined,Normal cell
NES,Cancer stem cell,Undefined,Cancer cell
"ENG, CD4, NT5E, THY1",Mesenchymal stem cell,Bone marrow,Normal cell
"BMI1, PROM1, SLC2A3, MSI1, NES, SOX2",Cancer stem cell,Brain,Cancer cell
"ENG, VCAM1, NECTIN2, MCAM, ALCAM, CDH2, CD34, CD44, CD47, ICAM1, NT5E, THY1",Endothelial cell,Cornea,Normal cell
"NA, GFAP, GLUL",Cancer cell,Undefined,Cancer cell
"ENG, CD34, CDH2, VIM",Limbal mesenchymal cell,Sclerocorneal tissue,Normal cell
"CCR7, CD163, MRC1",Macrophage,Intervertebral disc,Normal cell
GLI1,Cancer stem cell,Breast,Cancer cell
"ENG, ITGB1, CD34, CD44, PTPRC, NT5E, HLA-DR family",Mesenchymal stem cell,Placenta,Normal cell
ITGA2B,Platelet,Plasma,Normal cell
CD14,Monocyte,Plasma,Normal cell
"PECAM1, GP1BA",Endothelial cell,Plasma,Normal cell
GYPA,Red blood cell (erythrocyte),Plasma,Normal cell
"ENG, ITGB1, CD34",Mesenchymal stem cell,Peripheral blood,Normal cell
"ENG, CD44, NT5E, THY1",Mesenchymal stem cell,Dental pulp,Normal cell
ALPL,Pluripotent stem cell,Embryoid body,Normal cell
"ENG, THY1, NA",Adipose multilineage-differentiating stress-enduring cell,Adipose tissue,Normal cell
"[CD3D, CD3E, CD3G]",T cell,Kidney,Normal cell
CD68,Monocyte,Kidney,Normal cell
CD19,B cell,Kidney,Normal cell
"CD19, CD1D",Regulatory B cell,Peripheral blood,Normal cell
CD14,Macrophage,Peripheral blood,Normal cell
"PROM1, NES, SOX2",Neural stem cell,Inferior colliculus,Normal cell
SLC8A1,Cardiac progenitor cell,Undefined,Normal cell
CD44,Cancer stem cell,Undefined,Cancer cell
"[CD3D, CD3E, CD3G]",T cell,Blood,Normal cell
MS4A1,B cell,Blood,Normal cell
"PROM1, CD34, KDR",Endothelial progenitor cell,Peripheral blood,Normal cell
SLC2A1,CD4+ T cell,Peripheral blood,Normal cell
"PROM1, POU5F1, NA",Pluripotent very small embryonic-like cell,Ovary,Normal cell
POU5F1,Ovarian germ stem cell,Ovary,Normal cell
"DPPA3, DDX4",Primordial germ cell,Ovary,Normal cell
"DAZL, GDF9, SYCP3",Germ cell,Ovary,Normal cell
"NANOG, POU5F1, SOX2, FUT4, NA",Pluripotent stem cell,Ovarian cortex,Normal cell
"DDX4, IFITM3",Germline stem cell,Ovarian cortex,Normal cell
"CD44, LGR5",Cancer stem cell,Ovarian cortex,Cancer cell
"CD44, NANOG",Circulating stem like cell,Peripheral blood,Cancer cell
NGFR,Ito cell (hepatic stellate cell),Liver,Normal cell
"ENG, THY1, NANOG, POU5F1, SOX2",Adipose-derived stem cell,Subcutaneous adipose tissue,Normal cell
"PROM1, CD44",Cancer stem cell,Colorectum,Cancer cell
"PECAM1, VWF",Endothelial cell,Adipose tissue,Normal cell
"ALDH family, PROM1, CD34",Circulating progenitor cell,Blood,Normal cell
"ANXA5, CX3CR1",Lymphocyte,Blood,Normal cell
"PROM1, CD44",Cancer stem cell,Undefined,Cancer cell
CD44,Prostate stem cell,Prostate,Normal cell
"CD14, CD163",M2 macrophage,Peripheral blood,Normal cell
KRT19,Epithelial cell,Blood,Cancer cell
CXCR4,Cancer stem cell,Kidney,Cancer cell
"ADGRA3, ID4",Spermatogonial stem cell,Testis,Normal cell
PROM1,Cancer stem cell,Kidney,Cancer cell
"PROM1, CD34, PTPRC",Circulating precursor cell,Peripheral blood,Normal cell
"PECAM1, KDR",Endothelial precursor cell,Peripheral blood,Normal cell
"[CD3D, CD3E, CD3G], CD4, CD8A",T cell,Lymph node,Cancer cell
"CD34, NA",Cardiomyocyte progenitor cell,Myocardium,Normal cell
"ITGAX, CD209, CD83",Dendritic cell,Undefined,Cancer cell
"ALDH1A1, CD24, CD44",Cancer stem cell,Breast,Cancer cell
"ACTA2, DES",Smooth muscle cell,Undefined,Normal cell
"Pancytokeratin family, UPK3A",Urothelium cell,Undefined,Normal cell
"CD44, ENG, NT5E, THY1",Amniotic fluid stem cell,Amniotic fluid,Normal cell
"CD34, PTPRC, MCAM, NA",Dental pulp stem cell,Deciduous tooth,Normal cell
"[CD3D, CD3E, CD3G], NCAM1",Natural killer cell,Blood,Normal cell
"ANPEP, PROM1, FUT4, ALCAM, EPCAM, CD44",Cancer stem-like cell,Undefined,Cancer cell
NECTIN4,Cancer stem cell,Breast,Cancer cell
NA,Spermatogonial stem cell,Testis,Normal cell
THY1,Testis somatic cell,Testis,Normal cell
"CRX, NES, PRPH, PRRT2, RCVRN, RHO, RPE65",Photoreceptor cell,Retina,Normal cell
PECAM1,Endothelial cell,Undefined,Cancer cell
"CSPG4, NES",Neural crest cell,Undefined,Cancer cell
"Calponin family, THY1, DLK1, CSPG4, PDGFA, SMN1",Pericyte,Undefined,Cancer cell
"MYC, EZH2, NANOG, POU5F1, SOX2",Cancer stem cell,Undefined,Cancer cell
CDX2,Placenta cell,Placenta,Cancer cell
ITGAX,Myeloid dendritic cell,Thymus,Normal cell
MCAM,Cartilage progenitor cell,Cartilage,Normal cell
"MME, C5AR2",Fibroblast,Undefined,Cancer cell
"PROM1, CXCR4",Cancer stem-like cell,Endometrium,Cancer cell
