geneSymbol,cellName,tissueType,cellType
CD72,Mesoderm cell,Germ,Normal cell
NCR2,Lymphoid cell,Undefined,Normal cell
NCR3,Lymphoid cell,Undefined,Normal cell
LRRC36,Lymphoid cell,Undefined,Normal cell
CLEC7A,M1 macrophage,Undefined,Normal cell
MERTK,M1 macrophage,Undefined,Normal cell
STAT1,M1 macrophage,Undefined,Normal cell
MSR1,M2 macrophage,Undefined,Normal cell
IRF4,M2 macrophage,Undefined,Normal cell
STAT6,M2 macrophage,Undefined,Normal cell
LAMP2,Macrophage,Undefined,Normal cell
TNFSF18,Macrophage,Undefined,Normal cell
SIGLEC1,Macrophage,Undefined,Normal cell
TREM1,Macrophage,Undefined,Normal cell
CXL11,Macrophage,Undefined,Normal cell
CXCL2,Macrophage,Undefined,Normal cell
CXCL9,Macrophage,Undefined,Normal cell
GPNMB,Macrophage,Undefined,Normal cell
CD180,Marginal zone B cell,Undefined,Normal cell
FCRL4,Marginal zone B cell,Undefined,Normal cell
NOTCH2,Marginal zone B cell,Undefined,Normal cell
NEFM,Neuron,Undefined,Normal cell
NEFH,Neuron,Undefined,Normal cell
DLG4,Neuron,Undefined,Normal cell
MOG,Oligodendrocyte,Undefined,Normal cell
OLIG1,Oligodendrocyte,Undefined,Normal cell
OLIG3,Oligodendrocyte,Undefined,Normal cell
CLDN11,Oligodendrocyte,Undefined,Normal cell
SOX10,Oligodendrocyte,Undefined,Normal cell
GP1BB,Megakaryocyte,Undefined,Normal cell
GP5,Megakaryocyte,Undefined,Normal cell
CD200R1,Megakaryocyte erythroid cell,Undefined,Normal cell
TRG,Megakaryocyte erythroid cell,Undefined,Normal cell
TRD,Megakaryocyte erythroid cell,Undefined,Normal cell
RBPJ,Memory B cell,Undefined,Normal cell
TLR10,Memory B cell,Undefined,Normal cell
BMPR2,Mesenchymal stem cell,Undefined,Normal cell
P2RY12,Microglial cell,Undefined,Normal cell
P2RX7,Microglial cell,Undefined,Normal cell
CD177,Myeloid cell,Bone marrow,Normal cell
MARCO,Myeloid cell,Bone marrow,Normal cell
BAAT,Natural killer cell,Undefined,Normal cell
IL15,Natural killer cell,Undefined,Normal cell
IL18,Natural killer cell,Undefined,Normal cell
GEM,Natural killer cell,Undefined,Normal cell
KLRF1,Natural killer cell,Undefined,Normal cell
Granzyme family,Natural killer T (NKT) cell,Peripheral blood,Normal cell
BMP7,Neural crest cell,Undefined,Normal cell
CHD7,Neural crest cell,Undefined,Normal cell
FOXD3,Neural crest cell,Undefined,Normal cell
NEUROG1,Neural crest cell,Undefined,Normal cell
NEUROG2,Neural crest cell,Undefined,Normal cell
NEUROG3,Neural crest cell,Undefined,Normal cell
NUMB,Neural crest cell,Undefined,Normal cell
PAX3,Neural crest cell,Undefined,Normal cell
SNAI1,Neural crest cell,Undefined,Normal cell
SMARCA4,Neural stem cell,Undefined,Normal cell
NR2F1,Neural stem cell,Undefined,Normal cell
PMP2,Neural stem cell,Undefined,Normal cell
FGFR4,Neural stem cell,Undefined,Normal cell
HOXB1,Neural stem cell,Undefined,Normal cell
ID2,Neural stem cell,Undefined,Normal cell
LRTM1,Neural stem cell,Undefined,Normal cell
METRN,Neural stem cell,Undefined,Normal cell
MSX1,Neural stem cell,Undefined,Normal cell
NOG,Neural stem cell,Undefined,Normal cell
GABPA,Neural stem cell,Undefined,Normal cell
OTX2,Neural stem cell,Undefined,Normal cell
PRKCZ,Neural stem cell,Undefined,Normal cell
ROR2,Neural stem cell,Undefined,Normal cell
RXRA,Neural stem cell,Undefined,Normal cell
SFRP2,Neural stem cell,Undefined,Normal cell
SLAIN1,Neural stem cell,Undefined,Normal cell
SOX11,Neural stem cell,Undefined,Normal cell
SOX21,Neural stem cell,Undefined,Normal cell
TRAF4,Neural stem cell,Undefined,Normal cell
TLR8,Neural tube cell,Germ,Normal cell
CSPG5,Neural tube cell,Germ,Normal cell
NELL2,Neural tube cell,Germ,Normal cell
HES1,Neuroepithelial cell,Undefined,Normal cell
HES3,Neuroepithelial cell,Undefined,Normal cell
FOS,Neuron,Undefined,Normal cell
SRC,Neuron,Undefined,Normal cell
SEMA4D,Neuron,Undefined,Normal cell
SIRPB1,Neuron,Undefined,Normal cell
ACKR3,Neuron,Undefined,Normal cell
CSF3,Neuron,Undefined,Normal cell
IL11,Neuron,Undefined,Normal cell
PRNP,Neuron,Undefined,Normal cell
CXCR2,Neutrophil,Blood,Normal cell
JAML,Neutrophil,Blood,Normal cell
FCAR,Neutrophil,Undefined,Normal cell
NFIL3,Natural killer cell,Undefined,Normal cell
GATA3,Natural killer cell,Undefined,Normal cell
TOX,Natural killer cell,Undefined,Normal cell
DCSTAMP,Osteoblast,Bone,Normal cell
OCSTAMP,Osteoblast,Bone,Normal cell
OSCAR,Osteoblast,Bone,Normal cell
SP7,Osteoblast,Bone,Normal cell
PTH1R,Osteoblast,Bone,Normal cell
TCIRG1,Osteoblast,Bone,Normal cell
WDR5,Osteoblast,Bone,Normal cell
BGN,Osteocyte,Bone,Normal cell
FGF23,Osteocyte,Bone,Normal cell
SPARC,Osteocyte,Bone,Normal cell
SOX17,Pancreatic endoderm cell,Undefined,Normal cell
XBP1,Plasma cell,Undefined,Normal cell
LILRA4,Plasmacytoid dendritic cell,Blood,Normal cell
TLR3,Plasmacytoid dendritic cell,Undefined,Normal cell
TCF4,Plasmacytoid dendritic cell,Undefined,Normal cell
SLC44A1,Platelet,Undefined,Normal cell
TGFB1,Platelet,Undefined,Normal cell
TNFSF14,Platelet,Blood,Normal cell
JAM3,Platelet,Blood,Normal cell
PDGFB,Platelet,Blood,Normal cell
IFITM1,Primordial germ cell,Undefined,Normal cell
IFITM2,Primordial germ cell,Undefined,Normal cell
NANOS2,Primordial germ cell,Undefined,Normal cell
POU2F1,Primordial germ cell,Undefined,Normal cell
PRDM14,Primordial germ cell,Undefined,Normal cell
SMAD4,Primordial germ cell,Undefined,Normal cell
SMAD5,Primordial germ cell,Undefined,Normal cell
Glycophorin family,Proerythroblast,Germ,Normal cell
ITPR3,Purkinje cell,Undefined,Normal cell
PDE1C,Purkinje cell,Undefined,Normal cell
CA8,Purkinje cell,Undefined,Normal cell
CBLN1,Purkinje cell,Undefined,Normal cell
PRKG1,Purkinje cell,Undefined,Normal cell
ABAT,Purkinje cell,Undefined,Normal cell
HDAC6,Purkinje cell,Undefined,Normal cell
OMP,Purkinje cell,Undefined,Normal cell
ALKBH3,Purkinje cell,Undefined,Normal cell
ENPP1,Purkinje cell,Undefined,Normal cell
PDE1B,Purkinje cell,Undefined,Normal cell
PDE5A,Purkinje cell,Undefined,Normal cell
PDE9A,Purkinje cell,Undefined,Normal cell
PCP4,Purkinje cell,Undefined,Normal cell
ATP2B1,Purkinje cell,Undefined,Normal cell
ATP2B2,Purkinje cell,Undefined,Normal cell
S100A1,Purkinje cell,Undefined,Normal cell
ATP2A3,Purkinje cell,Undefined,Normal cell
ALDOC,Purkinje cell,Undefined,Normal cell
FZD2,Epidermal stem cell,Skin,Normal cell
FZD3,Epidermal stem cell,Skin,Normal cell
FZD7,Epidermal stem cell,Skin,Normal cell
EMX1,Pyramidal cell,Undefined,Normal cell
NEUROD6,Pyramidal cell,Undefined,Normal cell
GRM1,Pyramidal cell,Undefined,Normal cell
GRM5,Pyramidal cell,Undefined,Normal cell
NRGN,Pyramidal cell,Undefined,Normal cell
PTPRG,Pyramidal cell,Undefined,Normal cell
POU3F1,Pyramidal cell,Undefined,Normal cell
FEZF2,Pyramidal cell,Undefined,Normal cell
HES5,Radial glial cell,Undefined,Normal cell
POU4F2,Retinal ganglion cell,Undefined,Normal cell
HOXB5,Retinal ganglion cell,Undefined,Normal cell
NGF,Retinal ganglion cell,Undefined,Normal cell
TAF1,Retinal ganglion cell,Undefined,Normal cell
GAP43,Schwann cell,Undefined,Normal cell
FEV,Serotonergic neuron,Undefined,Normal cell
SHBG,Sertoli cell,Undefined,Normal cell
CALB2,Sertoli cell,Undefined,Normal cell
DHH,Sertoli cell,Undefined,Normal cell
GATA1,Sertoli cell,Undefined,Normal cell
HTR1A,Sertoli cell,Undefined,Normal cell
CALD1,Smooth muscle cell,Heart,Normal cell
CNN1,Smooth muscle cell,Heart,Normal cell
HEXIM1,Smooth muscle cell,Heart,Normal cell
HRH2,Smooth muscle cell,Heart,Normal cell
MLNR,Smooth muscle cell,Heart,Normal cell
TAGLN,Smooth muscle cell,Heart,Normal cell
LTBR,Stromal cell,Undefined,Normal cell
MADCAM1,Stromal cell,Undefined,Normal cell
MMP1,Stromal cell,Undefined,Normal cell
TIMP1,Stromal cell,Undefined,Normal cell
TIMP2,Stromal cell,Undefined,Normal cell
IL21,Follicular helper (Tfh) T cell,Undefined,Normal cell
BATF,Follicular helper (Tfh) T cell,Undefined,Normal cell
IFNGR1,T helper1 (Th1) cell,Undefined,Normal cell
IL27,T helper1 (Th1) cell,Undefined,Normal cell
TNFSF11,T helper1 (Th1) cell,Undefined,Normal cell
CSF2,T helper1 (Th1) cell,Undefined,Normal cell
STAT4,T helper1 (Th1) cell,Undefined,Normal cell
CCL20,T helper17 (Th17) cell,Undefined,Normal cell
IL1B,T helper17 (Th17) cell,Undefined,Normal cell
IL17F,T helper17 (Th17) cell,Undefined,Normal cell
IL22,T helper17 (Th17) cell,Undefined,Normal cell
IL23A,T helper17 (Th17) cell,Undefined,Normal cell
IL26,T helper17 (Th17) cell,Undefined,Normal cell
RORA,T helper17 (Th17) cell,Undefined,Normal cell
AHR,T helper17 (Th17) cell,Undefined,Normal cell
IL23R,T helper17 (Th17) cell,Undefined,Normal cell
NFKBIZ,T helper17 (Th17) cell,Undefined,Normal cell
IL33,T helper2 (Th2) cell,Undefined,Normal cell
HAVCR1,T helper2 (Th2) cell,Undefined,Normal cell
IL17RB,T helper2 (Th2) cell,Undefined,Normal cell
IZUMO1R,Regulatory T (Treg) cell,Undefined,Normal cell
REL,Regulatory T (Treg) cell,Undefined,Normal cell
IL1R2,Regulatory T (Treg) cell,Undefined,Normal cell
IKZF4,Regulatory T (Treg) cell,Undefined,Normal cell
MAGEA3,Cancer stem cell,Undefined,Cancer cell
BMP family,Cancer stem cell,Undefined,Cancer cell
FOXM1,Cancer stem cell,Undefined,Cancer cell
IFI27,Cancer stem cell,Undefined,Cancer cell
SMO,Cancer stem cell,Undefined,Cancer cell
MYD88,Cancer stem cell,Undefined,Cancer cell
KDM5B,Cancer stem cell,Undefined,Cancer cell
TNFRSF21,Plasmacytoid dendritic cell,Bone marrow,Normal cell
LILRB4,Plasmacytoid dendritic cell,Bone marrow,Normal cell
XCR1,Myeloid conventional dendritic cell,Bone marrow,Normal cell
CLEC10A,Myeloid conventional dendritic cell,Bone marrow,Normal cell
CLEC4A,Myeloid conventional dendritic cell,Bone marrow,Normal cell
AXL,Dendritic cell progenitor,Bone marrow,Normal cell
SIGLEC6,Dendritic cell progenitor,Bone marrow,Normal cell
SECISBP2L,Non-classical monocyte,Bone marrow,Normal cell
CCL1,Cancer stem cell,Undefined,Cancer cell
IL15RA,M1 macrophage,Peripheral blood,Normal cell
ABCA5,Cancer stem cell,Undefined,Cancer cell
CBX3,Cancer stem cell,Undefined,Cancer cell
JAG1,Cancer stem cell,Prostate,Cancer cell
Patched family,Cancer stem cell,Prostate,Cancer cell
ALDH1B1,Cancer stem cell,Undefined,Cancer cell
OLFM4,Cancer stem cell,Colorectum,Cancer cell
PTCH1,Cancer stem cell,Undefined,Cancer cell
GYPB,Mesenchymal stem cell,Undefined,Normal cell
ITGB5,Mesenchymal stem cell,Undefined,Normal cell
ABCA3,Type II pneumocyte,Lung,Normal cell
SLC34A2,Type II pneumocyte,Lung,Normal cell
AQP3,Airway secretory cell,Lung,Normal cell
MUC5AC,Airway secretory cell,Lung,Normal cell
MUC5B,Airway secretory cell,Lung,Normal cell
PIGR,Airway secretory cell,Lung,Normal cell
UBA2,Alpha cell,Pancreas,Normal cell
LDB2,Alpha cell,Pancreas,Normal cell
CRYBA2,Alpha cell,Pancreas,Normal cell
GBA,Alpha cell,Pancreas,Normal cell
HMGB3,Alpha cell,Pancreas,Normal cell
TM4SF4,Alpha cell,Pancreas,Normal cell
IRX2,Alpha cell,Pancreas,Normal cell
KLHL41,Alpha cell,Pancreas,Normal cell
LOXL4,Alpha cell,Pancreas,Normal cell
MAFB,Alpha cell,Pancreas,Normal cell
PTGER3,Alpha cell,Pancreas,Normal cell
PGR,Alpha cell,Pancreas,Normal cell
PLCE1,Alpha cell,Pancreas,Normal cell
RFX6,Alpha cell,Pancreas,Normal cell
RGPD4,Alpha cell,Pancreas,Normal cell
SMARCA1,Alpha cell,Pancreas,Normal cell
BMP5,Beta cell,Pancreas,Normal cell
CDKN1C,Beta cell,Pancreas,Normal cell
TFCP2L1,Beta cell,Pancreas,Normal cell
NPTX2,Beta cell,Pancreas,Normal cell
PFKFB2,Beta cell,Pancreas,Normal cell
PIR,Beta cell,Pancreas,Normal cell
SIX2,Beta cell,Pancreas,Normal cell
SIX3,Beta cell,Pancreas,Normal cell
SMAD9,Beta cell,Pancreas,Normal cell
SYT13,Beta cell,Pancreas,Normal cell
TGFBR3,Beta cell,Pancreas,Normal cell
AATF,Delta cell,Pancreas,Normal cell
EHF,Delta cell,Pancreas,Normal cell
ETV1,Delta cell,Pancreas,Normal cell
GABRG2,Delta cell,Pancreas,Normal cell
ERBB4,Delta cell,Pancreas,Normal cell
LCORL,Delta cell,Pancreas,Normal cell
PSIP1,Delta cell,Pancreas,Normal cell
LEPROT,Delta cell,Pancreas,Normal cell
PCSK1,Delta cell,Pancreas,Normal cell
PDLIM4,Delta cell,Pancreas,Normal cell
RBP4,Delta cell,Pancreas,Normal cell
PRG4,Delta cell,Pancreas,Normal cell
RGS2,Delta cell,Pancreas,Normal cell
FRZB,Delta cell,Pancreas,Normal cell
BHLHE41,Delta cell,Pancreas,Normal cell
CHN2,Pancreatic polypeptide cell,Pancreas,Normal cell
CARTPT,Pancreatic polypeptide cell,Pancreas,Normal cell
EGR3,Pancreatic polypeptide cell,Pancreas,Normal cell
ENTPD2,Pancreatic polypeptide cell,Pancreas,Normal cell
MEIS1,Pancreatic polypeptide cell,Pancreas,Normal cell
MEIS2,Pancreatic polypeptide cell,Pancreas,Normal cell
PTGFR,Pancreatic polypeptide cell,Pancreas,Normal cell
LMO3,Pancreatic polypeptide cell,Pancreas,Normal cell
SERTM1,Pancreatic polypeptide cell,Pancreas,Normal cell
ZNF506,Pancreatic polypeptide cell,Pancreas,Normal cell
HAND1,Trophoblast stem cell,Undefined,Normal cell
CER1,Definitive endoderm cell,Undefined,Normal cell
LPCAT1,Lung epithelial cell,Lung,Normal cell
NAPSA,Lung epithelial cell,Lung,Normal cell
AKT2,Idiopathic pulmonary fibrosis cell,Lung,Normal cell
COL1A1,Idiopathic pulmonary fibrosis cell,Lung,Normal cell
LTBP4,Idiopathic pulmonary fibrosis cell,Lung,Normal cell
PLA2G4C,Idiopathic pulmonary fibrosis cell,Lung,Normal cell
SLC26A8,Idiopathic pulmonary fibrosis cell,Lung,Normal cell
SPDEF,Idiopathic pulmonary fibrosis cell,Lung,Normal cell
ACTC1,Muscle cell,Embryoid body,Normal cell
APLNR,Muscle cell,Embryoid body,Normal cell
COL5A1,Stromal cell,Embryoid body,Normal cell
LUM,Stromal cell,Embryoid body,Normal cell
GNG11,Endothelial cell,Embryoid body,Normal cell
DMD,Epithelial cell,Embryoid body,Normal cell
FGB,Hepatocyte,Embryoid body,Normal cell
TTR,Hepatocyte,Embryoid body,Normal cell
ETV5,Spermatogonial stem cell,Testis,Normal cell
GFRA1,Spermatogonial stem cell,Testis,Normal cell
SOHLH2,Spermatogonium,Testis,Normal cell
SYCE3,Spermatogonium,Testis,Normal cell
SSX3,Spermatogonium,Testis,Normal cell
CD8B,CD8+ T cell,Peripheral blood,Normal cell
BLNK,B cell,Peripheral blood,Normal cell
COL3A1,Fibroblast,Peripheral blood,Normal cell
MITF,Cancer cell,Peripheral blood,Cancer cell
MLANA,Cancer cell,Peripheral blood,Cancer cell
PMEL,Cancer cell,Peripheral blood,Cancer cell
TYR,Cancer cell,Peripheral blood,Cancer cell
WFDC2,Cancer cell,Peripheral blood,Cancer cell
CD3GCD33,Hematopoietic cell,Bone marrow,Normal cell
ZNF683,Natural killer T (NKT) cell,Peripheral blood,Normal cell
CD37,B cell,Peripheral blood,Normal cell
CCL3,Natural killer cell,Peripheral blood,Normal cell
CD247,Natural killer cell,Peripheral blood,Normal cell
S100A12,CD14+CD16+ monocyte,Peripheral blood,Normal cell
CMTM7,Regulatory T (Treg) cell,Peripheral blood,Normal cell
CST3,Monocyte derived dendritic cell,Peripheral blood,Normal cell
PLA2G12A,Megakaryocyte progenitor cell,Peripheral blood,Normal cell
ABCA1,Astrocyte,Brain,Normal cell
ACSL6,Astrocyte,Brain,Normal cell
ADCYAP1R1,Astrocyte,Brain,Normal cell
AGT,Astrocyte,Brain,Normal cell
ANLN,Astrocyte,Brain,Normal cell
ARHGEF26,Astrocyte,Brain,Normal cell
ATF3,Astrocyte,Brain,Normal cell
ATP13A4,Astrocyte,Brain,Normal cell
ATP1B2,Astrocyte,Brain,Normal cell
BBOX1,Astrocyte,Brain,Normal cell
BTG2,Astrocyte,Brain,Normal cell
C1orf61,Astrocyte,Brain,Normal cell
CASQ1,Astrocyte,Brain,Normal cell
CBS,Astrocyte,Brain,Normal cell
CDC42EP4,Astrocyte,Brain,Normal cell
CHST9,Astrocyte,Brain,Normal cell
CPE,Astrocyte,Brain,Normal cell
CPNE5,Astrocyte,Brain,Normal cell
CPVL,Astrocyte,Brain,Normal cell
CRYAB,Astrocyte,Brain,Normal cell
DAND5,Astrocyte,Brain,Normal cell
DGKG,Astrocyte,Brain,Normal cell
DKK3,Astrocyte,Brain,Normal cell
DNJB1,Astrocyte,Brain,Normal cell
DNASE2,Astrocyte,Brain,Normal cell
DOK5,Astrocyte,Brain,Normal cell
DTNA,Astrocyte,Brain,Normal cell
EDNRB,Astrocyte,Brain,Normal cell
EEPD1,Astrocyte,Brain,Normal cell
EFEMP1,Astrocyte,Brain,Normal cell
EGLN3,Astrocyte,Brain,Normal cell
FOSB,Astrocyte,Brain,Normal cell
FTH1,Astrocyte,Brain,Normal cell
FXYD7,Astrocyte,Brain,Normal cell
GABRB1,Astrocyte,Brain,Normal cell
GADD45B,Astrocyte,Brain,Normal cell
CASTOR1,Astrocyte,Brain,Normal cell
GPR75,Astrocyte,Brain,Normal cell
GRAMD2B,Astrocyte,Brain,Normal cell
GRIA1,Astrocyte,Brain,Normal cell
HEPACAM,Astrocyte,Brain,Normal cell
HEPN1,Astrocyte,Brain,Normal cell
HEY1,Astrocyte,Brain,Normal cell
HIF1A,Astrocyte,Brain,Normal cell
HIF3A,Astrocyte,Brain,Normal cell
HLA-E,Astrocyte,Brain,Normal cell
HNMT,Astrocyte,Brain,Normal cell
HSPB8,Astrocyte,Brain,Normal cell
ID1,Astrocyte,Brain,Normal cell
IER2,Astrocyte,Brain,Normal cell
IGFBP7,Astrocyte,Brain,Normal cell
IL11RA,Astrocyte,Brain,Normal cell
JUND,Astrocyte,Brain,Normal cell
KCNH7,Astrocyte,Brain,Normal cell
KCNIP2,Astrocyte,Brain,Normal cell
KIF21A,Astrocyte,Brain,Normal cell
LCAT,Astrocyte,Brain,Normal cell
LHFPL6,Astrocyte,Brain,Normal cell
LIX1,Astrocyte,Brain,Normal cell
LPL,Astrocyte,Brain,Normal cell
LRRC8A,Astrocyte,Brain,Normal cell
LYPD1,Astrocyte,Brain,Normal cell
METTL7A,Astrocyte,Brain,Normal cell
MLC1,Astrocyte,Brain,Normal cell
MMD2,Astrocyte,Brain,Normal cell
MT1X,Astrocyte,Brain,Normal cell
MT2A,Astrocyte,Brain,Normal cell
MTHFD2,Astrocyte,Brain,Normal cell
NDRG2,Astrocyte,Brain,Normal cell
NFKBIA,Astrocyte,Brain,Normal cell
NHSL1,Astrocyte,Brain,Normal cell
NTRK2,Astrocyte,Brain,Normal cell
P2RY1,Astrocyte,Brain,Normal cell
PAPLN,Astrocyte,Brain,Normal cell
PEA15,Astrocyte,Brain,Normal cell
PER1,Astrocyte,Brain,Normal cell
PFKFB3,Astrocyte,Brain,Normal cell
PLTP,Astrocyte,Brain,Normal cell
PON2,Astrocyte,Brain,Normal cell
PRLHR,Astrocyte,Brain,Normal cell
PSAP,Astrocyte,Brain,Normal cell
RASL10A,Astrocyte,Brain,Normal cell
RASSF4,Astrocyte,Brain,Normal cell
RFX4,Astrocyte,Brain,Normal cell
RGMA,Astrocyte,Brain,Normal cell
RHOB,Astrocyte,Brain,Normal cell
RND3,Astrocyte,Brain,Normal cell
SCG2,Astrocyte,Brain,Normal cell
SCG3,Astrocyte,Brain,Normal cell
SEMA6A,Astrocyte,Brain,Normal cell
SERPINA3,Astrocyte,Brain,Normal cell
SF3A1,Astrocyte,Brain,Normal cell
SLC39A11,Astrocyte,Brain,Normal cell
SORL1,Astrocyte,Brain,Normal cell
SPARCL1,Astrocyte,Brain,Normal cell
SPOCK1,Astrocyte,Brain,Normal cell
SPON1,Astrocyte,Brain,Normal cell
SRPX,Astrocyte,Brain,Normal cell
SSTR2,Astrocyte,Brain,Normal cell
ST6GAL2,Astrocyte,Brain,Normal cell
TACR1,Astrocyte,Brain,Normal cell
TBC1D10A,Astrocyte,Brain,Normal cell
TIMP3,Astrocyte,Brain,Normal cell
TMEM151B,Astrocyte,Brain,Normal cell
TNS1,Astrocyte,Brain,Normal cell
TOB2,Astrocyte,Brain,Normal cell
TPCN1,Astrocyte,Brain,Normal cell
TRIL,Astrocyte,Brain,Normal cell
TSC22D4,Astrocyte,Brain,Normal cell
TSPAN12,Astrocyte,Brain,Normal cell
ZFAND5,Astrocyte,Brain,Normal cell
ZFP36,Astrocyte,Brain,Normal cell
ZFP36L1,Astrocyte,Brain,Normal cell
ZFP36L2,Astrocyte,Brain,Normal cell
ACAT2,Oligodendrocyte,Brain,Normal cell
ACTG1,Oligodendrocyte,Brain,Normal cell
AFAP1L2,Oligodendrocyte,Brain,Normal cell
AMOTL2,Oligodendrocyte,Brain,Normal cell
ANGPTL2,Oligodendrocyte,Brain,Normal cell
APOD,Oligodendrocyte,Brain,Normal cell
ARL4A,Oligodendrocyte,Brain,Normal cell
ASIC1,Oligodendrocyte,Brain,Normal cell
ATCAY,Oligodendrocyte,Brain,Normal cell
ATP5F1E,Oligodendrocyte,Brain,Normal cell
BIN1,Oligodendrocyte,Brain,Normal cell
LRRC75A,Oligodendrocyte,Brain,Normal cell
C2orf27A,Oligodendrocyte,Brain,Normal cell
CDH13,Oligodendrocyte,Brain,Normal cell
CDHR1,Oligodendrocyte,Brain,Normal cell
CNP,Oligodendrocyte,Brain,Normal cell
COX7C,Oligodendrocyte,Brain,Normal cell
CRB1,Oligodendrocyte,Brain,Normal cell
DHCR24,Oligodendrocyte,Brain,Normal cell
DHCR7,Oligodendrocyte,Brain,Normal cell
DLL1,Oligodendrocyte,Brain,Normal cell
DLL3,Oligodendrocyte,Brain,Normal cell
EBP,Oligodendrocyte,Brain,Normal cell
EEF1B2,Oligodendrocyte,Brain,Normal cell
EEF2,Oligodendrocyte,Brain,Normal cell
EIF3E,Oligodendrocyte,Brain,Normal cell
EIF3L,Oligodendrocyte,Brain,Normal cell
EPN2,Oligodendrocyte,Brain,Normal cell
FA2H,Oligodendrocyte,Brain,Normal cell
FAU,Oligodendrocyte,Brain,Normal cell
FDPS,Oligodendrocyte,Brain,Normal cell
FERMT1,Oligodendrocyte,Brain,Normal cell
FGFBP3,Oligodendrocyte,Brain,Normal cell
FXYD6,Oligodendrocyte,Brain,Normal cell
RACK1,Oligodendrocyte,Brain,Normal cell
GPR17,Oligodendrocyte,Brain,Normal cell
GPR37L1,Oligodendrocyte,Brain,Normal cell
GRIA2,Oligodendrocyte,Brain,Normal cell
GRIA4,Oligodendrocyte,Brain,Normal cell
GRIK2,Oligodendrocyte,Brain,Normal cell
HIP1,Oligodendrocyte,Brain,Normal cell
HIPK2,Oligodendrocyte,Brain,Normal cell
IFITM10,Oligodendrocyte,Brain,Normal cell
KCNIP3,Oligodendrocyte,Brain,Normal cell
LDHB,Oligodendrocyte,Brain,Normal cell
LHFPL3,Oligodendrocyte,Brain,Normal cell
LIMA1,Oligodendrocyte,Brain,Normal cell
LIMS2,Oligodendrocyte,Brain,Normal cell
LMF1,Oligodendrocyte,Brain,Normal cell
PLPPR1,Oligodendrocyte,Brain,Normal cell
LRRN1,Oligodendrocyte,Brain,Normal cell
MAML2,Oligodendrocyte,Brain,Normal cell
MAP1A,Oligodendrocyte,Brain,Normal cell
MARCKSL1,Oligodendrocyte,Brain,Normal cell
MEST,Oligodendrocyte,Brain,Normal cell
MICAL1,Oligodendrocyte,Brain,Normal cell
MIF,Oligodendrocyte,Brain,Normal cell
MTSS1,Oligodendrocyte,Brain,Normal cell
MYT1,Oligodendrocyte,Brain,Normal cell
NACA,Oligodendrocyte,Brain,Normal cell
NAP1L1,Oligodendrocyte,Brain,Normal cell
NEU4,Oligodendrocyte,Brain,Normal cell
NME1,Oligodendrocyte,Brain,Normal cell
NME2,Oligodendrocyte,Brain,Normal cell
NPM1,Oligodendrocyte,Brain,Normal cell
NXPH1,Oligodendrocyte,Brain,Normal cell
OMG,Oligodendrocyte,Brain,Normal cell
OPCML,Oligodendrocyte,Brain,Normal cell
PGRMC1,Oligodendrocyte,Brain,Normal cell
PHACTR3,Oligodendrocyte,Brain,Normal cell
PHLDB1,Oligodendrocyte,Brain,Normal cell
PID1,Oligodendrocyte,Brain,Normal cell
POLR2F,Oligodendrocyte,Brain,Normal cell
RAB2A,Oligodendrocyte,Brain,Normal cell
RAB33A,Oligodendrocyte,Brain,Normal cell
RGMB,Oligodendrocyte,Brain,Normal cell
RGR,Oligodendrocyte,Brain,Normal cell
RPL13A,Oligodendrocyte,Brain,Normal cell
RPL31,Oligodendrocyte,Brain,Normal cell
RPS17,Oligodendrocyte,Brain,Normal cell
RPS2,Oligodendrocyte,Brain,Normal cell
RPS23,Oligodendrocyte,Brain,Normal cell
RPSAP58,Oligodendrocyte,Brain,Normal cell
RTKN,Oligodendrocyte,Brain,Normal cell
SCD,Oligodendrocyte,Brain,Normal cell
SERINC5,Oligodendrocyte,Brain,Normal cell
SGK1,Oligodendrocyte,Brain,Normal cell
SHD,Oligodendrocyte,Brain,Normal cell
SHISA4,Oligodendrocyte,Brain,Normal cell
SIRT2,Oligodendrocyte,Brain,Normal cell
SLC1A1,Oligodendrocyte,Brain,Normal cell
SNX1,Oligodendrocyte,Brain,Normal cell
SNX22,Oligodendrocyte,Brain,Normal cell
SOX8,Oligodendrocyte,Brain,Normal cell
TAGLN3,Oligodendrocyte,Brain,Normal cell
TCF12,Oligodendrocyte,Brain,Normal cell
TM7SF2,Oligodendrocyte,Brain,Normal cell
TMEFF2,Oligodendrocyte,Brain,Normal cell
TMEM97,Oligodendrocyte,Brain,Normal cell
TMSB10,Oligodendrocyte,Brain,Normal cell
TMSB4X,Oligodendrocyte,Brain,Normal cell
TNK2,Oligodendrocyte,Brain,Normal cell
TUBB,Oligodendrocyte,Brain,Normal cell
TUBB4A,Oligodendrocyte,Brain,Normal cell
UGT8,Oligodendrocyte,Brain,Normal cell
UQCRB,Oligodendrocyte,Brain,Normal cell
VIPR2,Oligodendrocyte,Brain,Normal cell
WSCD1,Oligodendrocyte,Brain,Normal cell
ZCCHC24,Oligodendrocyte,Brain,Normal cell
ZDHHC9,Oligodendrocyte,Brain,Normal cell
ADAM15,Trophectoderm cell,Embryo,Normal cell
ADK,Trophectoderm cell,Embryo,Normal cell
ALPP,Trophectoderm cell,Embryo,Normal cell
ANKRD6,Trophectoderm cell,Embryo,Normal cell
ANXA6,Trophectoderm cell,Embryo,Normal cell
